joint1,joint2,joint3,joint4,joint5,joint5,isCollision
0.419485,2.58153,2.0447,-2.99897,-3.0035,-0.290485,0
1.69533,1.19433,1.65787,-3.11326,-0.627276,-1.85217,0
-1.74758,2.42344,2.77859,-1.49202,2.96147,-1.28507,1
1.83425,-0.420524,-1.9482,-2.57148,-1.49523,-2.91905,0
-0.722853,-2.89045,-2.68042,-0.745435,-1.79403,-1.84936,0
0.0528362,-1.52742,-2.10302,-1.02535,0.77953,-2.58055,0
1.66889,-1.07615,-0.57484,1.59148,-1.95461,-2.25165,0
2.23401,-0.654685,-2.66948,0.704436,-1.72202,-0.271358,0
1.27716,-2.25538,-0.647561,2.56379,-1.70211,1.37964,1
2.91747,1.86949,-1.70295,2.09918,-0.625184,0.121942,1
0.0713551,2.50778,-0.223576,-3.08304,0.593714,-2.37464,1
-1.03678,-0.817663,1.9348,1.03389,0.736874,1.07774,0
0.588037,-0.676965,-1.01984,0.181431,2.38394,0.389714,0
2.18065,-1.5806,2.91842,3.11293,-1.23077,2.53497,0
1.11553,-2.83056,1.9641,-0.869125,-2.78422,1.28616,1
-2.26305,-1.22959,-2.51064,2.94689,-2.06882,-2.32821,0
1.40945,-0.125917,-1.90272,2.85116,1.06845,0.578006,0
-0.82724,2.43648,2.53807,-0.193974,0.106658,1.62832,0
-2.33687,1.61854,-1.49686,-0.305203,-2.76325,-2.07337,0
0.0140899,1.10938,0.12716,-1.9956,-0.8365,-0.800558,1
-1.82667,1.02744,2.63611,-1.22967,-2.58398,0.363048,0
0.0632349,2.50688,1.03889,1.12966,0.153637,-0.995716,1
-1.82002,2.39644,2.94873,0.887927,1.24999,3.06506,0
2.02279,-2.43146,1.04206,2.08917,-2.58275,2.83548,1
2.19332,-2.44335,1.8341,1.13286,-1.86948,0.493828,0
-0.461068,2.37451,2.38155,1.68817,-0.902314,1.48771,0
-0.144962,1.92465,2.33291,1.73001,0.669761,0.461146,1
1.81713,2.17246,-2.23767,1.26422,1.39847,2.55171,1
0.236637,-1.39815,-2.14817,1.88749,-3.12151,-0.875592,1
0.157341,2.09132,1.21522,1.57834,0.919991,-0.7181,1
-2.34758,0.143298,1.07146,-2.6204,0.692781,-1.48575,0
2.35511,-3.11607,0.274229,2.77379,-2.37163,-2.15541,1
-0.746297,-1.22264,-2.69668,1.8217,-3.0727,-0.796898,0
1.44637,-0.196947,-0.979406,-0.0446658,-1.91614,3.06094,1
1.6957,-2.37247,2.45435,0.519669,-0.0871537,-2.23067,0
-0.71533,2.36139,2.73418,-2.71971,-2.91826,-2.17301,0
2.61896,-0.578769,1.50558,-0.311471,0.0833866,1.36932,0
2.7322,2.92386,-2.88593,0.817813,-2.72538,0.233917,0
1.31702,2.48976,-2.97874,0.353893,-1.75636,-3.09182,1
1.96293,-2.34042,-2.41408,-1.58432,-1.8893,-2.73496,1
-2.3274,0.505822,0.217772,0.0429265,-0.36082,2.69618,1
1.98447,1.44249,0.878779,-0.0557038,1.14294,0.664518,1
-2.4978,0.436672,0.756105,2.93253,-3.01211,-1.66197,1
0.468122,1.78139,0.915635,0.547226,2.11875,-0.773293,1
-1.14855,-2.23035,2.41961,-2.91618,-0.768396,0.251526,0
2.49441,0.710145,-2.49579,1.1851,1.752,0.078538,0
0.415015,-1.24355,-0.160601,-0.367633,-2.82857,2.21196,0
-1.12335,1.41214,-2.15119,-1.09354,-0.938375,2.09609,0
-2.6201,1.56131,1.87842,-1.35628,-1.99599,0.727113,1
-2.46811,1.07952,0.235792,-1.5919,2.71217,-1.79651,1
0.169195,-0.171341,2.92172,0.238685,-1.17715,2.36254,1
-2.76072,-0.4761,2.13693,1.61247,0.621898,-2.88727,1
0.339227,0.454057,0.546799,2.34493,-0.549803,2.30699,1
-0.447928,-0.37141,0.199318,-0.193337,-0.0934283,2.36964,0
2.58195,1.45744,1.41726,-0.745834,-2.19234,-2.97547,0
-3.11482,-2.30278,0.840693,1.87223,-0.706053,-2.06434,1
-0.0876564,-1.76469,-0.921152,-0.0952883,1.51368,1.0056,1
2.29707,-2.46769,-1.72071,-1.32017,-1.27478,-2.65494,0
1.07503,-0.870875,-1.46112,0.20946,-3.04841,1.34641,0
-2.2819,-1.6241,-0.0563637,-2.83501,1.53795,1.52545,0
-2.71731,-1.67213,-2.24077,1.81524,2.24214,-0.181335,0
1.67,1.23393,1.01526,2.08364,2.56916,2.87801,1
-0.659428,-0.186486,0.968879,0.597093,0.0230102,-0.360697,1
-2.41428,-0.248636,0.881962,-2.45621,2.27337,0.393529,0
1.79421,-0.403744,-2.88639,2.85029,1.5701,3.06577,0
1.6102,0.658669,-1.46935,0.194533,-2.07914,0.513569,1
-1.1151,2.99394,0.985094,-2.63524,1.08594,2.50199,1
2.16276,1.96791,1.01417,-1.79249,-3.11782,0.0302857,0
0.929419,-0.0909206,2.67075,1.72834,2.45693,-1.52612,1
-0.982289,-1.58131,1.34827,0.0558641,-0.935178,-2.80674,1
-0.25564,-0.168871,-2.01683,2.87605,-1.52411,-0.257831,0
-0.32829,0.468748,2.64427,2.33578,2.66985,-2.42051,0
0.957503,-1.1688,-2.09238,-2.55678,1.89409,1.20084,1
-0.0499771,-2.4671,0.692104,2.14013,1.44872,-1.75474,0
-2.50065,1.8165,2.76859,1.6048,-0.627857,2.21461,0
2.98127,-0.984915,2.13895,1.44959,-2.91763,0.319007,1
0.447663,0.846805,2.23659,0.150941,-3.02982,-1.91299,1
-1.19109,-1.90155,0.879728,-1.20203,0.143753,-2.29666,1
-2.06539,0.81854,1.40134,0.0116907,2.2988,-1.41166,0
-2.76903,-2.95531,-0.561934,-0.652112,0.614313,2.70507,1
-0.214251,0.48938,-1.58342,0.852992,1.05713,0.77465,0
-0.137529,2.27568,2.73517,-0.957229,0.086591,-0.419237,0
2.79441,-0.222094,-2.11166,1.77842,-1.69269,-1.64217,0
-0.226922,-1.54939,-3.08336,2.74358,-0.732556,2.87669,0
-0.623117,-2.93967,-0.142177,2.6112,1.92511,1.01844,1
-1.4702,2.50959,2.95828,1.36433,-1.62624,0.971974,1
1.23771,-0.790531,-0.606943,-0.338948,0.558837,-2.45902,1
-1.13771,2.93837,-3.0988,-2.01042,-1.6558,2.64868,0
-1.46171,1.6301,-1.82278,2.04564,2.69889,-1.61452,1
-2.86924,-2.22871,1.81246,-1.16597,-1.34412,-0.647924,1
-1.34538,-1.37614,-1.32437,0.581385,1.43074,0.560608,0
2.97015,2.59882,2.87747,2.06369,2.48459,-1.34118,0
2.46819,2.71373,0.508601,-2.318,0.152318,-2.64,1
0.69374,-0.849122,2.75158,-2.48504,0.563691,-0.632878,1
2.64041,2.42378,-1.96003,3.11192,-1.42268,-0.86347,0
3.07616,2.56736,-0.949945,-0.693439,-2.28161,-2.65188,1
-1.67112,2.80927,-0.821707,-2.74391,0.963129,-3.0056,0
-2.11492,2.67821,2.65733,1.79825,-2.40991,-1.75637,0
0.156811,0.414441,-2.41363,1.40948,-1.8558,1.32345,0
-1.0897,-2.08014,0.00833087,2.94981,1.13038,0.822303,1
1.11366,1.93224,-0.584823,1.03911,2.19123,-3.06434,0
-0.223572,-0.679125,-1.77977,1.06029,-0.165491,2.53054,1
1.71052,2.56395,1.36238,1.57043,-0.194007,2.75434,0
-1.93131,-1.38071,2.37673,1.44502,1.48184,1.38244,1
2.91529,1.9075,0.128063,0.157355,1.21164,-2.5533,1
2.62654,-2.56789,0.739731,-2.92877,-0.694319,1.42505,1
-2.35094,0.412417,1.46484,-2.01786,-2.6103,-1.93268,0
2.61279,1.46684,-0.71821,-2.04848,2.00462,0.541644,1
-2.57154,-1.74122,1.18321,2.69468,1.55016,-2.61143,1
0.670163,1.76841,1.97282,-1.0538,-1.26598,0.64716,0
-0.743621,-1.27147,-0.389557,2.76088,-0.820915,-0.183805,0
0.377656,-2.30478,-2.41988,-1.47736,2.70117,-2.39445,0
1.54178,1.33193,2.29546,2.01418,2.62753,2.62534,1
-0.506518,3.11697,-2.98255,-0.204758,1.76076,0.200143,1
3.07243,0.940683,-2.44754,-0.16951,1.56391,2.11417,1
0.772778,-0.241502,1.78733,-2.71194,0.901292,2.29035,1
-1.53008,-0.453528,-2.17631,-0.241078,0.473228,-0.0279089,0
1.35805,0.184925,2.31746,-1.00197,1.50438,0.67928,0
0.757776,0.869347,2.32785,0.106848,2.31917,-1.56073,1
-3.13524,-0.912395,2.88206,-2.72669,1.97343,3.04473,1
2.06345,2.82544,-2.60115,1.77477,-0.402275,-1.04515,1
-2.06422,-3.06372,-1.60746,-2.28178,2.3892,-2.77869,1
2.6553,-2.3218,0.193813,2.8796,1.40643,0.302,0
-1.14985,0.554463,-2.72775,-0.397112,-0.448925,2.30205,1
3.1087,-0.769988,2.49609,1.52334,-0.207353,-1.42896,0
0.491544,-2.46146,2.92863,0.894395,2.23028,1.55543,1
2.69547,-0.436883,2.42931,1.60694,-2.64058,1.04493,1
-1.71342,-3.10855,0.0230184,-0.589944,0.811254,0.885014,1
2.2355,2.65303,2.04053,0.235085,0.594992,-2.95711,0
0.206364,-0.933671,0.781132,-2.99304,3.13429,-0.348533,1
-1.686,1.06093,2.29804,-1.17316,-2.52828,-2.94975,0
2.00947,2.91567,-1.4041,-2.93653,2.39889,2.68187,1
1.34511,-2.25794,2.42704,1.20289,0.222291,-2.57402,1
-0.433018,0.887796,-0.565476,0.0936458,-2.4233,1.4681,0
-2.27055,-2.1429,-0.199666,2.65239,-1.63312,2.6261,0
-0.555242,1.19763,-1.66054,2.48869,0.814021,-2.61964,0
-2.32189,-0.856065,0.884951,-0.933823,0.711866,2.08823,0
-2.58779,2.26626,0.942477,2.58089,0.531573,-2.19105,0
0.376895,0.246086,1.6033,-0.648643,1.07625,0.749365,0
1.76206,1.11344,2.92117,-0.356575,0.0974872,0.794277,0
1.3343,-2.82744,-2.28973,-1.14583,-1.94029,-2.97641,1
2.97253,1.3703,-0.712527,-2.36474,0.339222,-2.10918,1
-0.527143,-1.31646,1.00369,2.11174,0.111844,-0.615074,1
-1.57609,-1.79796,-2.68608,0.220891,0.981178,2.26999,0
1.17241,-2.60111,1.45459,-0.234282,-0.281833,2.68672,0
-3.04766,0.49028,-2.85689,-0.280356,-2.9372,-0.30118,0
1.91132,2.0921,1.01465,0.573487,-0.330536,2.55349,1
-1.09549,2.37949,2.19952,1.0595,-2.40597,0.401656,1
2.32099,1.88181,2.19138,-2.30653,-2.41277,-3.0881,1
0.848575,-0.366745,-2.6342,0.698164,-1.47791,0.306458,1
2.10356,2.28969,2.88455,-0.648937,-2.2335,-2.41067,1
-0.75507,1.74408,-0.740793,-1.52057,1.60011,-1.09289,1
-2.51574,0.391161,0.412363,2.63523,-2.90053,1.61544,1
-0.742905,-1.65577,1.29086,0.32538,2.69044,1.12496,1
1.39218,-1.64093,1.17155,2.98123,2.8882,1.94006,1
1.71957,-2.81629,0.592791,-2.40167,-1.72729,1.62268,0
1.28524,2.26257,-2.80598,1.91095,3.10981,1.57937,1
-0.40288,0.245826,3.13931,-3.03975,-2.09599,2.68559,1
-2.94362,-0.281328,2.97038,-0.979666,2.60657,0.984728,1
1.47395,-0.781544,2.25114,-1.28891,-2.15595,1.05903,1
1.7819,-2.02203,-0.196806,-2.75419,0.788303,-1.29695,0
-3.06888,-1.42241,2.26102,-2.85569,-1.16424,-1.43944,1
3.01534,-0.912547,-1.48663,-0.242196,-2.55801,-1.94777,0
0.590646,-0.715245,-2.19649,2.62205,2.98634,0.0683769,0
2.97894,1.56338,2.56403,-1.48977,1.82714,-0.441083,0
0.932129,1.35267,1.40684,0.294258,1.4226,-2.88067,1
1.55811,-2.43956,-1.81593,1.41439,-2.90894,0.100904,1
-1.76045,2.81161,-2.96099,-2.04296,0.520362,0.326502,1
0.401913,-2.54322,-0.71125,1.83783,2.98544,0.505962,1
-2.35577,-0.0849344,-1.89914,0.126628,-2.8977,3.03261,1
-3.11745,-2.72145,1.40558,0.482666,1.49724,2.20532,0
-2.77836,-2.07763,-2.59542,-2.66467,0.84837,1.02571,0
0.25975,0.43721,2.21356,0.814643,2.55799,-2.53692,1
0.2807,1.93716,1.01034,-0.396516,-1.56193,-1.50938,1
-1.57201,2.26276,-2.5538,0.415743,2.18696,1.98108,0
-0.777195,1.59479,-3.11583,-0.409411,0.733922,0.534863,1
-2.14728,-1.60426,0.534755,2.8408,-0.253483,-1.23452,1
-1.97889,2.41094,-3.0497,-2.49707,-2.90943,0.890835,0
0.446774,-2.5634,-0.601318,2.01347,-1.21569,-2.42323,1
-2.80377,0.794471,1.8898,0.524144,-2.96443,2.70213,0
1.5474,-2.42966,2.04159,-1.61954,-0.0536735,-1.31482,1
-2.04568,1.11529,-1.27076,2.65375,0.955705,-0.848002,0
0.997775,-1.96825,-1.40005,0.942249,1.89591,-2.17999,1
-2.88315,-1.82168,0.726363,-2.97826,2.40889,1.4401,0
2.22085,-2.50033,-1.78805,0.9913,-0.488842,1.18799,0
2.30642,2.28087,-2.57789,-0.585072,-0.775066,0.974663,1
0.208811,-3.01296,1.63945,2.22408,-1.18796,-0.174554,1
-2.05849,2.13567,2.44346,-2.55556,-0.266683,1.01336,0
1.12118,-1.57508,-0.48198,0.361278,-3.02527,1.14306,0
1.99887,-2.82316,2.31982,-2.01521,1.47584,0.667709,0
-1.4654,-0.120301,-0.477729,0.764487,-0.870172,0.865345,1
-3.07807,-1.30036,-1.84114,-0.354409,-3.10706,2.93235,1
0.310444,-3.01849,-0.575382,-1.49295,0.03842,0.180486,0
0.122321,-0.510034,-1.29142,2.86821,-0.319,-0.409547,0
1.33121,2.10691,0.250776,0.579857,0.615893,-3.08693,0
-0.751961,2.59078,1.76593,0.623894,-1.77308,1.42705,1
-1.16583,-2.22193,-0.6568,0.147122,1.69102,2.45045,0
-0.396979,0.224005,-1.938,0.471988,-1.79962,-1.34641,0
1.60534,-1.39653,0.920185,1.15124,-1.02567,-0.489364,1
-3.09592,0.303164,-1.13855,-1.74909,-0.946181,-0.910194,0
2.19677,0.242739,-0.566647,2.51258,2.75547,1.48064,0
3.0749,-0.313903,-1.26393,0.667385,2.24503,0.878343,1
-2.7059,-1.86203,2.22294,2.39612,3.12352,-2.69289,0
-0.0899795,1.29536,0.616801,-0.062137,1.09855,-2.76101,1
-2.68379,-1.49548,1.501,1.13854,-0.923183,1.41639,0
-0.312941,0.301302,0.988916,-1.2627,-2.36441,2.26386,0
0.918448,-2.44722,-0.542908,-0.0936319,-1.28265,-0.135631,0
-1.50211,-0.552409,0.119138,1.55219,2.34784,0.431114,0
-2.3129,0.687011,2.35175,2.42253,1.26408,-2.69755,1
-0.493107,1.82378,1.08726,1.73686,-2.71784,-0.43866,1
-2.64842,-1.13493,-0.69199,1.84487,-2.76133,0.889131,1
-0.485093,2.32671,-0.508117,-2.4985,-1.26351,2.07269,1
-2.34407,-2.94059,-2.37569,-2.64039,-0.779513,-2.52548,0
-2.91264,-2.44158,2.977,1.75697,-1.56016,0.0295632,0
-2.6441,-0.681177,-2.36301,1.57638,-2.53091,1.34453,1
1.80668,-1.68782,3.04934,-2.70098,1.67874,1.52702,1
-2.62634,2.81557,2.25553,0.647081,1.97003,1.81277,1
2.05304,1.7005,0.80734,2.2601,2.48283,0.655339,0
-1.10238,-0.819004,-1.37772,2.01028,-0.733495,-2.37387,1
-2.04592,-0.0910835,0.539177,0.310019,-2.79997,-1.37592,1
-1.2798,2.82876,-0.666571,0.0322084,0.873524,0.683639,1
-2.59401,-0.221569,0.095617,-1.81517,2.84548,0.942716,0
-2.20456,-1.81751,-0.495493,-2.12662,1.25409,1.43258,0
1.73106,2.97606,-0.529795,-1.81569,-1.63487,2.54481,0
-3.05557,-1.38318,1.44565,2.48872,-2.07804,-1.22041,1
-3.04072,2.59382,-0.329609,1.68021,-1.73975,-2.12618,0
-0.77271,-1.46046,0.424876,0.230056,-0.321339,-0.075212,0
-0.886698,2.64865,-2.33218,-1.89723,1.25156,-2.35153,0
2.22262,-0.416844,-1.36744,2.45463,-0.925964,2.81513,1
-2.89348,-2.28512,2.56973,0.0629781,-3.05884,0.894875,0
-1.36727,2.39386,-1.63358,2.96501,-0.0950398,2.02385,0
1.55957,-3.03054,-2.94724,-0.450283,-1.29945,-1.66443,0
3.13792,2.27994,0.720127,-1.80591,-2.97248,-0.48919,1
1.55626,-1.17212,2.07741,-2.98049,-0.671321,0.050193,1
-1.73865,-1.94284,-0.54891,3.0742,-1.87874,-2.5228,0
-2.40829,-0.946947,-0.135797,-0.044604,0.554808,-1.4777,0
-0.768532,0.211544,2.83675,2.20234,3.10745,1.31807,0
-2.83373,-1.55432,-0.35927,-1.94643,-2.88642,-0.240816,1
-2.67345,0.957185,1.03567,-2.89131,-0.208205,-1.10429,0
-1.742,-0.788917,2.46907,-0.0511711,-0.382932,-3.0807,1
-0.0549324,-1.92417,0.0189232,-1.37787,1.81549,-2.04905,1
0.250708,-1.17191,-0.417294,-2.06419,-2.12449,1.914,0
-0.60306,-3.12356,0.0317984,0.422956,1.22438,2.41689,0
-0.961642,-1.19329,-2.42872,-2.62821,1.89536,2.47458,0
-1.90751,0.841004,1.17155,-0.67326,2.54515,0.99895,0
2.24524,-2.63337,-2.60425,0.0953392,2.41745,-0.668709,1
1.91607,-0.250236,-0.0270379,-2.91596,-1.73868,-2.03205,1
-1.44717,0.796084,2.45601,-2.31595,-3.01932,2.01983,0
2.37706,-1.61831,-0.979372,2.50406,-2.88159,1.78745,1
-1.09823,-0.600143,0.116104,-1.69385,-1.47568,0.526605,0
-1.01616,-0.864787,1.0052,2.68121,-1.35181,2.48601,1
-1.22242,-1.93843,0.0369233,-2.54871,-3.10226,-0.311839,1
-1.28318,-1.07702,0.576066,-1.09962,0.401461,2.39078,0
-0.111509,-1.52083,-0.572981,-1.38602,1.21581,-0.234017,1
0.23797,-2.3937,2.86385,0.447738,2.42826,2.9017,0
0.747331,1.07059,-3.09764,-1.73609,2.42573,-0.690286,1
-1.21388,-0.661093,-1.82808,2.85429,1.50244,0.177837,1
-1.38959,1.16417,-1.67743,2.59877,-1.62984,-0.532805,0
-1.12375,2.17385,2.26594,-2.22841,1.96415,0.715846,1
2.99963,2.38303,-2.8991,-2.72572,1.75337,2.74477,0
0.909858,2.88328,2.17813,-3.01756,0.913803,-2.58533,1
-0.28783,-3.02698,2.72217,-2.93024,2.82999,2.56965,0
0.179601,1.90086,-2.61704,-2.98861,-2.62548,-0.451073,0
0.500965,0.487911,2.75712,1.29017,0.695158,-1.02936,1
-1.37442,2.92038,-1.37261,-1.62145,-0.139798,2.41283,1
-1.36588,-1.36094,0.0342668,-2.91475,1.68002,1.29697,0
2.56227,-0.834391,-1.63326,3.04659,-0.762385,2.13925,0
2.68055,-1.63815,2.92971,0.947075,-2.79882,-1.72353,0
-2.65993,-1.21128,0.984554,0.184928,2.34143,-1.25909,1
-0.47008,1.518,-2.09476,1.04404,2.3437,1.51626,0
3.13587,0.165598,0.0828667,2.21305,2.48975,0.714054,1
-0.462924,2.83671,-2.37705,-1.65979,-1.95534,-2.67359,1
1.51086,1.96938,-0.773945,-1.41425,2.05961,1.42263,1
2.63734,0.22026,0.271132,2.88615,2.48069,-1.05753,1
0.504301,-2.15214,1.77916,-2.00409,2.21766,-1.44745,0
2.06059,-1.07286,1.12005,2.42017,0.225827,-2.63006,0
-1.17042,0.440545,-1.12486,-0.363119,3.1272,-1.25328,0
1.91627,-1.60556,2.58624,0.830123,-2.61089,-1.68953,0
-0.0365605,-1.09667,0.316884,1.20413,-2.10249,1.61942,1
-0.155633,-2.04012,-0.264633,-1.48171,2.52163,-0.755586,1
0.432603,2.39804,0.927736,-2.76898,-0.491833,3.09753,0
-0.770267,-1.23504,-2.2384,3.02795,-1.55199,1.61876,0
-2.22609,-2.605,-1.85418,-0.620326,2.56021,-0.556613,0
-1.57331,-1.76382,2.85049,-2.29286,-1.16512,0.988353,0
2.00948,-2.69111,-0.560091,1.28763,-2.90215,1.49123,1
0.265152,2.04021,2.86074,-2.54435,0.61056,-2.87707,1
-1.39586,0.157702,2.46386,-0.361012,-1.9678,0.250438,1
-1.47778,-0.610458,-3.03413,-1.41966,1.68754,2.5965,1
1.24735,-1.78073,-2.68963,-1.58893,-2.10635,0.614009,1
-0.338311,-1.09259,0.323726,0.512948,-0.787507,1.99101,0
1.99635,0.711544,0.805186,0.741693,0.862573,1.31707,0
1.00407,-0.534299,-3.13277,2.60824,1.88101,2.85377,0
0.703877,-2.23753,-2.08194,2.61636,-2.09339,-1.93029,1
0.351944,1.29414,-1.94088,2.43268,0.924117,-2.61164,0
-3.12279,-0.171919,0.183602,-1.9097,-0.457611,-1.37773,0
-0.51583,-2.58021,-2.55013,2.32682,0.564374,2.96399,0
-0.37301,-3.03836,3.12563,0.288224,2.29375,0.67311,0
-2.83051,0.512201,-1.37408,2.30223,1.48521,2.88213,1
1.48243,-1.42079,-2.5548,2.69317,0.51255,-1.62232,0
1.15727,-2.59519,2.03706,-1.12383,-2.88746,0.47326,0
2.94533,0.228809,1.32255,0.143299,-2.35064,-0.674486,0
0.501569,-2.44752,-0.903026,1.75846,-2.07076,-0.840426,0
0.640131,-0.819707,1.89925,2.27718,-1.61773,-0.870093,0
2.81887,2.42797,-1.98276,2.0756,-1.62286,0.791071,0
-1.2082,0.026675,0.778936,-3.0782,-2.20569,0.109948,1
1.53241,-0.589987,-2.3441,-1.56313,3.01269,-1.44557,0
-1.1758,-2.10224,-1.55987,-2.88823,1.79121,-0.75413,0
-2.19022,2.20114,0.629344,-2.21446,0.590835,0.103295,0
1.26016,3.10681,1.31522,-1.38083,-0.700299,-1.16357,0
1.37516,0.702067,-1.88059,-2.71535,-0.448351,-0.150731,1
1.96249,1.045,-1.29946,0.211431,0.932704,1.67921,0
-1.37532,-0.822606,-0.980507,-0.24981,0.680887,1.52593,0
-0.835773,1.92176,2.80748,0.21377,-0.735109,-1.24867,0
2.06575,0.944251,2.29092,-1.80035,-3.06154,0.47811,1
-1.98099,-1.59502,2.34577,-1.01513,-0.962225,-0.950137,1
1.20193,1.08828,2.93046,-0.55281,0.26538,1.91878,0
-2.69255,-0.972155,1.09731,3.10256,-3.06328,-0.777524,1
-2.84181,0.724972,1.37236,-2.38389,2.69022,2.20013,0
-0.0536838,-2.87952,2.69248,-1.76498,-2.17825,2.59865,1
-0.147742,-2.61617,-2.45361,2.87687,2.2361,0.219524,0
2.18553,-0.591696,-2.32655,-2.51959,1.38911,-2.23713,1
2.6321,-1.22192,0.94677,2.01899,0.600937,0.426301,1
-1.80208,-2.49926,-2.32353,0.111166,-2.17577,-0.649665,0
-2.13171,-2.1495,-2.42573,2.03908,2.12773,-3.11693,1
0.62836,-1.25655,-0.456352,1.2122,1.1028,1.10358,1
-0.683677,2.92833,2.48872,-0.820978,2.90723,-2.45897,0
1.76776,-1.5142,0.424131,-2.9722,-2.35934,-1.65766,0
2.03395,-0.112148,0.348854,2.7781,-2.32474,-2.38875,0
-2.88747,-0.505445,0.970821,1.01131,0.893695,-1.21691,0
1.09066,-2.85504,-2.10433,-1.91467,0.673662,3.02225,0
-0.0374131,1.38753,-0.170538,0.268931,2.51732,-0.530611,0
1.40796,2.82789,-1.61528,1.23218,0.901171,-0.796505,1
-1.4464,1.45221,2.14759,-1.78185,0.483896,1.36597,1
1.85762,2.77286,3.02699,1.96348,0.243073,1.01854,1
-1.86302,-2.03953,-0.148868,0.244216,-1.65324,2.32511,1
-0.327032,2.97794,-1.88266,2.25375,-1.67313,0.41305,0
-2.45084,-0.589671,-0.143268,1.05392,1.43167,2.06944,0
2.77323,-1.75227,2.22145,-1.84669,-2.92266,-1.16034,0
0.554316,-0.461856,2.31655,-1.20913,3.13807,0.471178,0
1.56037,-2.7883,0.504538,-2.78982,-0.396547,1.51676,0
2.45831,-1.40916,-2.06837,-0.386381,-2.31523,-1.3969,1
-2.86994,0.182918,-2.59189,-1.65559,-2.92651,-1.19255,0
-2.39417,-2.51403,0.345312,2.77854,-2.09711,-1.23496,0
-2.99761,1.32035,-1.85467,-1.77051,2.48805,-2.44511,0
-0.642274,1.64295,1.804,0.141992,2.51631,-1.76467,1
-2.16092,-2.55329,2.85344,1.26075,-0.727571,-1.12466,1
2.77743,-1.54811,-1.26623,2.76584,0.535989,-1.97296,1
1.32047,2.35173,2.2852,-2.06206,-0.335202,1.32548,1
2.44553,1.64171,-1.84358,-0.357253,-1.74256,2.89678,1
-1.22207,1.38159,0.909116,0.888979,-1.11089,-0.236162,1
2.90977,-2.81516,-0.815258,-2.29266,2.95098,-0.946935,1
-0.669533,-1.27878,1.27349,-1.99161,-1.5108,-0.822082,0
0.957248,0.920408,0.984033,2.779,-0.223054,-2.00298,0
-1.88329,1.56551,2.40221,-1.27832,-2.35217,-3.08134,0
